,Year,Country Name,Fertility Rate
5329,1980,Argentina,3.301
5595,1981,Argentina,3.253
5861,1982,Argentina,3.204
6127,1983,Argentina,3.159
6393,1984,Argentina,3.123
6659,1985,Argentina,3.095
6925,1986,Argentina,3.075
7191,1987,Argentina,3.059
7457,1988,Argentina,3.042
7723,1989,Argentina,3.022
7989,1990,Argentina,3.034
8255,1991,Argentina,3.012
8521,1992,Argentina,2.987
8787,1993,Argentina,2.966
9053,1994,Argentina,2.935
9319,1995,Argentina,2.864
9585,1996,Argentina,2.781
9851,1997,Argentina,2.706
10117,1998,Argentina,2.662
10383,1999,Argentina,2.643
10649,2000,Argentina,2.591
10915,2001,Argentina,2.531
11181,2002,Argentina,2.493
11447,2003,Argentina,2.451
11713,2004,Argentina,2.43
11979,2005,Argentina,2.426
12245,2006,Argentina,2.4
12511,2007,Argentina,2.37
12777,2008,Argentina,2.341
13043,2009,Argentina,2.344
13309,2010,Argentina,2.346
13575,2011,Argentina,2.338
13841,2012,Argentina,2.33
14107,2013,Argentina,2.322
14373,2014,Argentina,2.312
14639,2015,Argentina,2.301
14905,2016,Argentina,2.241
15171,2017,Argentina,2.168
15437,2018,Argentina,2.039
15703,2019,Argentina,1.994
15969,2020,Argentina,1.911
16235,2021,Argentina,1.885
16501,2022,Argentina,1.876
