,Year,Country Name,Fertility Rate
5348,1980,Bolivia,5.474
5614,1981,Bolivia,5.408
5880,1982,Bolivia,5.346
6146,1983,Bolivia,5.289
6412,1984,Bolivia,5.238
6678,1985,Bolivia,5.189
6944,1986,Bolivia,5.139
7210,1987,Bolivia,5.087
7476,1988,Bolivia,5.028
7742,1989,Bolivia,4.963
8008,1990,Bolivia,4.89
8274,1991,Bolivia,4.81
8540,1992,Bolivia,4.713
8806,1993,Bolivia,4.592
9072,1994,Bolivia,4.494
9338,1995,Bolivia,4.409
9604,1996,Bolivia,4.336
9870,1997,Bolivia,4.219
10136,1998,Bolivia,4.149
10402,1999,Bolivia,4.09
10668,2000,Bolivia,3.991
10934,2001,Bolivia,3.89
11200,2002,Bolivia,3.802
11466,2003,Bolivia,3.721
11732,2004,Bolivia,3.633
11998,2005,Bolivia,3.558
12264,2006,Bolivia,3.533
12530,2007,Bolivia,3.447
12796,2008,Bolivia,3.364
13062,2009,Bolivia,3.287
13328,2010,Bolivia,3.213
13594,2011,Bolivia,3.143
13860,2012,Bolivia,3.076
14126,2013,Bolivia,3.01
14392,2014,Bolivia,2.947
14658,2015,Bolivia,2.886
14924,2016,Bolivia,2.829
15190,2017,Bolivia,2.777
15456,2018,Bolivia,2.73
15722,2019,Bolivia,2.688
15988,2020,Bolivia,2.651
16254,2021,Bolivia,2.618
16520,2022,Bolivia,2.584
