,Year,Country Name,Fertility Rate
5359,1980,Chile,2.744
5625,1981,Chile,2.689
5891,1982,Chile,2.648
6157,1983,Chile,2.619
6423,1984,Chile,2.601
6689,1985,Chile,2.592
6955,1986,Chile,2.589
7221,1987,Chile,2.59
7487,1988,Chile,2.591
7753,1989,Chile,2.589
8019,1990,Chile,2.579
8285,1991,Chile,2.558
8551,1992,Chile,2.478
8817,1993,Chile,2.43
9083,1994,Chile,2.377
9349,1995,Chile,2.303
9615,1996,Chile,2.245
9881,1997,Chile,2.177
10147,1998,Chile,2.112
10413,1999,Chile,2.044
10679,2000,Chile,1.987
10945,2001,Chile,1.961
11211,2002,Chile,1.935
11477,2003,Chile,1.873
11743,2004,Chile,1.826
12009,2005,Chile,1.803
12275,2006,Chile,1.803
12541,2007,Chile,1.826
12807,2008,Chile,1.85
13073,2009,Chile,1.855
13339,2010,Chile,1.844
13605,2011,Chile,1.823
13871,2012,Chile,1.798
14137,2013,Chile,1.786
14403,2014,Chile,1.774
14669,2015,Chile,1.737
14935,2016,Chile,1.676
15201,2017,Chile,1.598
15467,2018,Chile,1.564
15733,2019,Chile,1.545
15999,2020,Chile,1.537
16265,2021,Chile,1.537
16531,2022,Chile,1.539
