,Year,Country Name,Fertility Rate
5365,1980,Colombia,3.856
5631,1981,Colombia,3.743
5897,1982,Colombia,3.632
6163,1983,Colombia,3.527
6429,1984,Colombia,3.43
6695,1985,Colombia,3.343
6961,1986,Colombia,3.269
7227,1987,Colombia,3.208
7493,1988,Colombia,3.158
7759,1989,Colombia,3.117
8025,1990,Colombia,3.082
8291,1991,Colombia,3.047
8557,1992,Colombia,3.01
8823,1993,Colombia,2.967
9089,1994,Colombia,2.918
9355,1995,Colombia,2.862
9621,1996,Colombia,2.802
9887,1997,Colombia,2.742
10153,1998,Colombia,2.683
10419,1999,Colombia,2.627
10685,2000,Colombia,2.572
10951,2001,Colombia,2.516
11217,2002,Colombia,2.458
11483,2003,Colombia,2.395
11749,2004,Colombia,2.33
12015,2005,Colombia,2.263
12281,2006,Colombia,2.198
12547,2007,Colombia,2.137
12813,2008,Colombia,2.081
13079,2009,Colombia,2.033
13345,2010,Colombia,1.992
13611,2011,Colombia,1.958
13877,2012,Colombia,1.93
14143,2013,Colombia,1.905
14409,2014,Colombia,1.883
14675,2015,Colombia,1.863
14941,2016,Colombia,1.843
15207,2017,Colombia,1.818
15473,2018,Colombia,1.787
15739,2019,Colombia,1.765
16005,2020,Colombia,1.737
16271,2021,Colombia,1.717
16537,2022,Colombia,1.692
