,Year,Country Name,Fertility Rate
5386,1980,Ecuador,4.73
5652,1981,Ecuador,4.612
5918,1982,Ecuador,4.501
6184,1983,Ecuador,4.395
6450,1984,Ecuador,4.293
6716,1985,Ecuador,4.195
6982,1986,Ecuador,4.1
7248,1987,Ecuador,4.007
7514,1988,Ecuador,3.917
7780,1989,Ecuador,3.829
8046,1990,Ecuador,3.744
8312,1991,Ecuador,3.665
8578,1992,Ecuador,3.591
8844,1993,Ecuador,3.524
9110,1994,Ecuador,3.461
9376,1995,Ecuador,3.403
9642,1996,Ecuador,3.345
9908,1997,Ecuador,3.288
10174,1998,Ecuador,3.228
10440,1999,Ecuador,3.166
10706,2000,Ecuador,3.102
10972,2001,Ecuador,3.037
11238,2002,Ecuador,2.972
11504,2003,Ecuador,2.911
11770,2004,Ecuador,2.853
12036,2005,Ecuador,2.8
12302,2006,Ecuador,2.753
12568,2007,Ecuador,2.711
12834,2008,Ecuador,2.675
13100,2009,Ecuador,2.643
13366,2010,Ecuador,2.615
13632,2011,Ecuador,2.596
13898,2012,Ecuador,2.517
14164,2013,Ecuador,2.419
14430,2014,Ecuador,2.335
14696,2015,Ecuador,2.26
14962,2016,Ecuador,2.201
15228,2017,Ecuador,2.174
15494,2018,Ecuador,2.133
15760,2019,Ecuador,2.088
16026,2020,Ecuador,2.051
16292,2021,Ecuador,2.026
16558,2022,Ecuador,2.003
