,Year,Country Name,Fertility Rate
5414,1980,Guyana,3.817
5680,1981,Guyana,3.728
5946,1982,Guyana,3.64
6212,1983,Guyana,3.548
6478,1984,Guyana,3.452
6744,1985,Guyana,3.354
7010,1986,Guyana,3.263
7276,1987,Guyana,3.186
7542,1988,Guyana,3.127
7808,1989,Guyana,3.089
8074,1990,Guyana,3.069
8340,1991,Guyana,3.063
8606,1992,Guyana,3.066
8872,1993,Guyana,3.071
9138,1994,Guyana,3.074
9404,1995,Guyana,3.074
9670,1996,Guyana,3.069
9936,1997,Guyana,3.061
10202,1998,Guyana,3.05
10468,1999,Guyana,3.036
10734,2000,Guyana,3.017
11000,2001,Guyana,2.992
11266,2002,Guyana,2.961
11532,2003,Guyana,2.924
11798,2004,Guyana,2.883
12064,2005,Guyana,2.84
12330,2006,Guyana,2.797
12596,2007,Guyana,2.755
12862,2008,Guyana,2.718
13128,2009,Guyana,2.684
13394,2010,Guyana,2.655
13660,2011,Guyana,2.63
13926,2012,Guyana,2.606
14192,2013,Guyana,2.582
14458,2014,Guyana,2.558
14724,2015,Guyana,2.534
14990,2016,Guyana,2.509
15256,2017,Guyana,2.485
15522,2018,Guyana,2.462
15788,2019,Guyana,2.44
16054,2020,Guyana,2.418
16320,2021,Guyana,2.397
16586,2022,Guyana,2.369
