,Year,Country Name,Fertility Rate
5515,1980,Paraguay,5.122
5781,1981,Paraguay,5.165
6047,1982,Paraguay,5.126
6313,1983,Paraguay,5.087
6579,1984,Paraguay,5.037
6845,1985,Paraguay,4.974
7111,1986,Paraguay,4.9
7377,1987,Paraguay,4.818
7643,1988,Paraguay,4.73
7909,1989,Paraguay,4.639
8175,1990,Paraguay,4.547
8441,1991,Paraguay,4.457
8707,1992,Paraguay,4.368
8973,1993,Paraguay,4.282
9239,1994,Paraguay,4.196
9505,1995,Paraguay,4.108
9771,1996,Paraguay,4.014
10037,1997,Paraguay,3.911
10303,1998,Paraguay,3.798
10569,1999,Paraguay,3.678
10835,2000,Paraguay,3.553
11101,2001,Paraguay,3.431
11367,2002,Paraguay,3.315
11633,2003,Paraguay,3.21
11899,2004,Paraguay,3.119
12165,2005,Paraguay,3.04
12431,2006,Paraguay,2.97
12697,2007,Paraguay,2.907
12963,2008,Paraguay,2.846
13229,2009,Paraguay,2.787
13495,2010,Paraguay,2.73
13761,2011,Paraguay,2.675
14027,2012,Paraguay,2.625
14293,2013,Paraguay,2.636
14559,2014,Paraguay,2.646
14825,2015,Paraguay,2.645
15091,2016,Paraguay,2.624
15357,2017,Paraguay,2.591
15623,2018,Paraguay,2.561
15889,2019,Paraguay,2.525
16155,2020,Paraguay,2.497
16421,2021,Paraguay,2.469
16687,2022,Paraguay,2.444
