,Year,Country Name,Fertility Rate
5506,1980,Peru,5.041
5772,1981,Peru,4.915
6038,1982,Peru,4.795
6304,1983,Peru,4.68
6570,1984,Peru,4.568
6836,1985,Peru,4.46
7102,1986,Peru,4.354
7368,1987,Peru,4.247
7634,1988,Peru,4.138
7900,1989,Peru,4.026
8166,1990,Peru,3.912
8432,1991,Peru,3.794
8698,1992,Peru,3.673
8964,1993,Peru,3.552
9230,1994,Peru,3.432
9496,1995,Peru,3.315
9762,1996,Peru,3.203
10028,1997,Peru,3.099
10294,1998,Peru,3.002
10560,1999,Peru,2.917
10826,2000,Peru,2.845
11092,2001,Peru,2.744
11358,2002,Peru,2.693
11624,2003,Peru,2.661
11890,2004,Peru,2.673
12156,2005,Peru,2.686
12422,2006,Peru,2.686
12688,2007,Peru,2.666
12954,2008,Peru,2.628
13220,2009,Peru,2.607
13486,2010,Peru,2.573
13752,2011,Peru,2.542
14018,2012,Peru,2.487
14284,2013,Peru,2.432
14550,2014,Peru,2.385
14816,2015,Peru,2.338
15082,2016,Peru,2.306
15348,2017,Peru,2.281
15614,2018,Peru,2.26
15880,2019,Peru,2.242
16146,2020,Peru,2.216
16412,2021,Peru,2.192
16678,2022,Peru,2.164
