,Year,Fertility Rate
0,1980,4.067
1,1981,3.9933333333333336
2,1982,3.9157500000000005
3,1983,3.8409999999999997
4,1984,3.77075
5,1985,3.704333333333333
6,1986,3.6398333333333333
7,1987,3.5756666666666668
8,1988,3.52425
9,1989,3.469
10,1990,3.4091666666666662
11,1991,3.3556666666666666
12,1992,3.2929166666666667
13,1993,3.235583333333333
14,1994,3.1817499999999996
15,1995,3.122666666666667
16,1996,3.0605833333333337
17,1997,2.9960833333333334
18,1998,2.935416666666667
19,1999,2.8785000000000003
20,2000,2.8165
21,2001,2.755333333333333
22,2002,2.704416666666667
23,2003,2.6485
24,2004,2.6069999999999998
25,2005,2.572083333333333
26,2006,2.5374166666666667
27,2007,2.49975
28,2008,2.4636666666666667
29,2009,2.4346666666666668
30,2010,2.4058333333333333
31,2011,2.3786666666666667
32,2012,2.3436666666666666
33,2013,2.3152500000000003
34,2014,2.29075
35,2015,2.2665
36,2016,2.2224166666666667
37,2017,2.1800833333333336
38,2018,2.136083333333333
39,2019,2.098333333333333
40,2020,2.0620833333333333
41,2021,2.0444999999999998
42,2022,2.0241666666666664
