,Year,Country Name,Fertility Rate
5540,1980,Suriname,3.895
5806,1981,Suriname,3.798
6072,1982,Suriname,3.715
6338,1983,Suriname,3.64
6604,1984,Suriname,3.57
6870,1985,Suriname,3.505
7136,1986,Suriname,3.445
7402,1987,Suriname,3.391
7668,1988,Suriname,3.345
7934,1989,Suriname,3.304
8200,1990,Suriname,3.267
8466,1991,Suriname,3.231
8732,1992,Suriname,3.195
8998,1993,Suriname,3.156
9264,1994,Suriname,3.115
9530,1995,Suriname,3.072
9796,1996,Suriname,3.03
10062,1997,Suriname,2.99
10328,1998,Suriname,2.955
10594,1999,Suriname,2.923
10860,2000,Suriname,2.895
11126,2001,Suriname,2.868
11392,2002,Suriname,2.84
11658,2003,Suriname,2.811
11924,2004,Suriname,2.781
12190,2005,Suriname,2.749
12456,2006,Suriname,2.717
12722,2007,Suriname,2.687
12988,2008,Suriname,2.659
13254,2009,Suriname,2.633
13520,2010,Suriname,2.61
13786,2011,Suriname,2.587
14052,2012,Suriname,2.565
14318,2013,Suriname,2.543
14584,2014,Suriname,2.519
14850,2015,Suriname,2.494
15116,2016,Suriname,2.469
15382,2017,Suriname,2.443
15648,2018,Suriname,2.418
15914,2019,Suriname,2.394
16180,2020,Suriname,2.371
16446,2021,Suriname,2.348
16712,2022,Suriname,2.322
