,Year,Country Name,Fertility Rate
5570,1980,Uruguay,2.587
5836,1981,Uruguay,2.562
6102,1982,Uruguay,2.53
6368,1983,Uruguay,2.492
6634,1984,Uruguay,2.476
6900,1985,Uruguay,2.48
7166,1986,Uruguay,2.472
7432,1987,Uruguay,2.416
7698,1988,Uruguay,2.506
7964,1989,Uruguay,2.516
8230,1990,Uruguay,2.433
8496,1991,Uruguay,2.446
8762,1992,Uruguay,2.423
9028,1993,Uruguay,2.397
9294,1994,Uruguay,2.415
9560,1995,Uruguay,2.401
9826,1996,Uruguay,2.364
10092,1997,Uruguay,2.328
10358,1998,Uruguay,2.262
10624,1999,Uruguay,2.22
10890,2000,Uruguay,2.168
11156,2001,Uruguay,2.132
11422,2002,Uruguay,2.142
11688,2003,Uruguay,2.101
11954,2004,Uruguay,2.09
12220,2005,Uruguay,2.097
12486,2006,Uruguay,2.07
12752,2007,Uruguay,2.048
13018,2008,Uruguay,2.03
13284,2009,Uruguay,2.018
13550,2010,Uruguay,2.011
13816,2011,Uruguay,2.008
14082,2012,Uruguay,2.006
14348,2013,Uruguay,2.01
14614,2014,Uruguay,1.998
14880,2015,Uruguay,2.023
15146,2016,Uruguay,1.945
15412,2017,Uruguay,1.796
15678,2018,Uruguay,1.658
15944,2019,Uruguay,1.546
16210,2020,Uruguay,1.477
16476,2021,Uruguay,1.493
16742,2022,Uruguay,1.483
