,Year,Country Name,Fertility Rate
5574,1980,"Venezuela, RB",4.2
5840,1981,"Venezuela, RB",4.104
6106,1982,"Venezuela, RB",4.014
6372,1983,"Venezuela, RB",3.933
6638,1984,"Venezuela, RB",3.861
6904,1985,"Venezuela, RB",3.794
7170,1986,"Venezuela, RB",3.73
7436,1987,"Venezuela, RB",3.665
7702,1988,"Venezuela, RB",3.597
7968,1989,"Venezuela, RB",3.524
8234,1990,"Venezuela, RB",3.448
8500,1991,"Venezuela, RB",3.37
8766,1992,"Venezuela, RB",3.292
9032,1993,"Venezuela, RB",3.218
9298,1994,"Venezuela, RB",3.147
9564,1995,"Venezuela, RB",3.082
9830,1996,"Venezuela, RB",3.022
10096,1997,"Venezuela, RB",2.967
10362,1998,"Venezuela, RB",2.915
10628,1999,"Venezuela, RB",2.867
10894,2000,"Venezuela, RB",2.822
11160,2001,"Venezuela, RB",2.779
11426,2002,"Venezuela, RB",2.739
11692,2003,"Venezuela, RB",2.701
11958,2004,"Venezuela, RB",2.664
12224,2005,"Venezuela, RB",2.629
12490,2006,"Venezuela, RB",2.595
12756,2007,"Venezuela, RB",2.562
13022,2008,"Venezuela, RB",2.53
13288,2009,"Venezuela, RB",2.5
13554,2010,"Venezuela, RB",2.471
13820,2011,"Venezuela, RB",2.444
14086,2012,"Venezuela, RB",2.417
14352,2013,"Venezuela, RB",2.39
14618,2014,"Venezuela, RB",2.365
14884,2015,"Venezuela, RB",2.34
15150,2016,"Venezuela, RB",2.317
15416,2017,"Venezuela, RB",2.294
15682,2018,"Venezuela, RB",2.272
15948,2019,"Venezuela, RB",2.25
16214,2020,"Venezuela, RB",2.23
16480,2021,"Venezuela, RB",2.211
16746,2022,"Venezuela, RB",2.188
