,Year,Country Name,Fertility Rate
5574,1980,Venezuela,4.2
5840,1981,Venezuela,4.104
6106,1982,Venezuela,4.014
6372,1983,Venezuela,3.933
6638,1984,Venezuela,3.861
6904,1985,Venezuela,3.794
7170,1986,Venezuela,3.73
7436,1987,Venezuela,3.665
7702,1988,Venezuela,3.597
7968,1989,Venezuela,3.524
8234,1990,Venezuela,3.448
8500,1991,Venezuela,3.37
8766,1992,Venezuela,3.292
9032,1993,Venezuela,3.218
9298,1994,Venezuela,3.147
9564,1995,Venezuela,3.082
9830,1996,Venezuela,3.022
10096,1997,Venezuela,2.967
10362,1998,Venezuela,2.915
10628,1999,Venezuela,2.867
10894,2000,Venezuela,2.822
11160,2001,Venezuela,2.779
11426,2002,Venezuela,2.739
11692,2003,Venezuela,2.701
11958,2004,Venezuela,2.664
12224,2005,Venezuela,2.629
12490,2006,Venezuela,2.595
12756,2007,Venezuela,2.562
13022,2008,Venezuela,2.53
13288,2009,Venezuela,2.5
13554,2010,Venezuela,2.471
13820,2011,Venezuela,2.444
14086,2012,Venezuela,2.417
14352,2013,Venezuela,2.39
14618,2014,Venezuela,2.365
14884,2015,Venezuela,2.34
15150,2016,Venezuela,2.317
15416,2017,Venezuela,2.294
15682,2018,Venezuela,2.272
15948,2019,Venezuela,2.25
16214,2020,Venezuela,2.23
16480,2021,Venezuela,2.211
16746,2022,Venezuela,2.188
